,index,name,extra,process,harvest time,sub region,varietal,elevation,producer
223,423,Kenya Gathaithi,Process Washed Sub Region Nyeri Harvest Time January 2018 Varietal SL-28 & SL-32 Elevation 1700 - 1700,Process Washed,Harvest Time January 2018,Sub Region Nyeri,Varietal SL-28 & SL-32,Elevation 1700 - 1700,
224,117,Kenya Kihuyo AB,Process Washed Sub Region Nyeri Harvest Time Spring 2018 Varietal Sl 28 34 Elevation 1800,Process Washed,Harvest Time Spring 2018,Sub Region Nyeri,Varietal Sl 28 34,Elevation 1800,
225,399,Kenya AA Ruthagati,"Process Washed Sub Region Nyeri Producer ""Rutuma Farmers Coop Society"" Harvest Time March 2019 Varietal SL 28 SL 34 Elevation 1650 - 1700",Process Washed,Harvest Time March 2019,Sub Region Nyeri,Varietal SL 28 SL 34,Elevation 1650 - 1700,"Producer ""Rutuma Farmers Coop Society"" Harvest Time March 2019 Varietal SL 28 SL 34 Elevation 1650 - 1700"
226,325,Kenya Karatina,Process Washed Sub Region Nyeri Producer Barichu Farmers Cooperative Society Harvest Time May 2018 Elevation 1800,Process Washed,Harvest Time May 2018,Sub Region Nyeri,,Elevation 1800,Producer Barichu Farmers Cooperative Society
227,267,Kenya Gachatha OT-18,Process Washed Sub Region Nyeri Producer Gachatha Cooperative Varietal SL-28 SL-34 Elevation 2000 - 2050,Process Washed,,Sub Region Nyeri,Varietal SL-28 SL-34,Elevation 2000 - 2050,Producer Gachatha Cooperative
228,174,Kenya Gichathaini PB,Process Washed Sub Region Nyeri Producer Gichathanini Factory Varietal SL-28 SL-34 Elevation 1900 - 2000,Process Washed,,Sub Region Nyeri,Varietal SL-28 SL-34,Elevation 1900 - 2000,Producer Gichathanini Factory
229,113,Kenya Kiunyu OT-18,Process Washed Sub Region Nyeri Producer Kiunyu Factory Varietal SL-28 SL-34 Elevation 1900 - 2000,Process Washed,,Sub Region Nyeri,Varietal SL-28 SL-34,Elevation 1900 - 2000,Producer Kiunyu Factory
230,271,10 Year Anniversary Blend,Process Washed Sub Region Nyeri Kenya; Guji Ethiopia Producer Giakanja Kenya; Tabe Burka Ethiopia Harvest Time November 2017 - January 2018 Varietal SL-28 SL-34 Heirloom Elevation 1750,Process Washed,Harvest Time November 2017 - January 2018,Sub Region Nyeri Kenya; Guji Ethiopia,Varietal SL-28 SL-34 Heirloom,Elevation 1750,Producer Giakanja Kenya; Tabe Burka Ethiopia
231,270,"Miramar, Mexico",Process Washed Sub Region Oaxaca Varietal Bourbon & Typica,Process Washed,,Sub Region Oaxaca,Varietal Bourbon & Typica,,
232,398,"Yosotatu Reserva, Mexico",Process Washed Sub Region Oaxaca Varietal Bourbon & Typica,Process Washed,,Sub Region Oaxaca,Varietal Bourbon & Typica,,
233,179,Costa Rica Montes de Oro,"Process Washed Sub Region Ojo de Agua Tarrazu Producer Emilio ""Milo"" & Laura Gamboa Harvest Time December - April Varietal Villa Sarchi Elevation 1700 - 1900",Process Washed,Harvest Time December - April,Sub Region Ojo de Agua Tarrazu,Varietal Villa Sarchi,Elevation 1700 - 1900,"Producer Emilio ""Milo"" & Laura Gamboa"
234,277,Ethiopia Gera Limmu,Process Washed Sub Region Oromia Producer Omer Ali Varietal Mixed Heirloom Elevation 1800,Process Washed,,Sub Region Oromia,Varietal Mixed Heirloom,Elevation 1800,Producer Omer Ali Varietal Mixed Heirloom Elevation 1800
235,406,"Guji Uraga, Ethiopia",Process Washed Sub Region Oromia Varietal Indigenous Heirloom Varieties Elevation 1650 - 1800,Process Washed,,Sub Region Oromia,Varietal Indigenous Heirloom Varieties,Elevation 1650 - 1800,
236,247,Kenya Nyeri Kiruga AA,Process Washed Sub Region Othaya Varietal SL28  SL34 Elevation 1600 - 1800,Process Washed,,Sub Region Othaya ,Varietal SL28 SL34,Elevation 1600 - 1800,
237,297,Arnaud Causse Pacamara,Process Washed Sub Region Pichincha Producer Arnaud Causse Harvest Time August-September 2017 Varietal Pacamara Elevation 1800 - 2100,Process Washed,Harvest Time August-September 2017 ,Sub Region Pichincha ,Varietal Pacamara,Elevation 1800 - 2100,Producer Arnaud Causse 
238,460,Ecuador La Yumbada Caturra,Process Washed Sub Region Pichincha Producer Rommy Idrobo and Christian Marlin Harvest Time August-September 2017 Varietal Caturra Elevation 1800 - 1950,Process Washed,Harvest Time August-September 2017,Sub Region Pichincha ,Varietal Caturra ,Elevation 1800 - 1950,Producer Rommy Idrobo and Christian Marlin
239,461,Ecuador La Yumbada Sidra,Process Washed Sub Region Pichincha Producer Rommy Idrobo and Christian Marlin Harvest Time August-September 2017 Varietal Sidra Elevation 1800 - 1950,Process Washed,Harvest Time August-September 2017,Sub Region Pichincha ,Varietal Sidra,Elevation 1800 - 1950,Producer Rommy Idrobo and Christian Marlin
240,319,Peru Norandino,Process Washed Sub Region Piura Amazonas Cajamarca San Martin Producer Norandino Harvest Time November 2017 Varietal Caturra bourbon catuai pache villa sarchi catimor Elevation 1100 - 1700,Process Washed,Harvest Time November 2017 ,Sub Region Piura Amazonas Cajamarca San Martin ,Varietal Caturra bourbon catuai pache villa sarchi catimor,Elevation 1100 - 1700,Producer Norandino 
