name,extra
Burundi - Nkonge Natural,Process Natural/Dry Processed Producer Long Miles Coffee Project Varietal Bourbon Elevation 1900 - 2100
La Bicicletta Organic Blend,Varietal Caturra Timtim Heirloom
Guatemala,Process Washed Sub Region Huehuetenango Producer William Perez Varietal Caturra Elevation 1800 - 2100
Flecha Roja Costa Rica,Process Washed Sub Region Dota Tarrazu Producer Roberto & Michael Mata Harvest Time January - February 2018 Varietal Caturra Catuai
Cherry Picker,Process Washed Natural/Dry Processed Sub Region Guji Harvest Time December 2017-Febuary 2018 Varietal Mixed Heirloom Elevation 1900
Ethiopia Sakaro,Process Washed Sub Region Gedeb Yirgacheffe Producer Small Producers Harvest Time January 2018 Varietal Heirloom Elevation 1900 - 2100
Kenya Gachatha OT-18,Process Washed Sub Region Nyeri Producer Gachatha Cooperative Varietal SL-28 SL-34 Elevation 2000 - 2050
Seawall Stroll Seasonal Espresso Blend,Process Washed Honey Harvest Time Spring 2018 Varietal Gathaithi: SL 28 Ruiru/ Abana Estate: Heirloom/ Hacienda Carmona: Typica Bourbón/ El Angel: Villalobos Caturra
"La Roca, Nicaragua",Process Washed Sub Region Nueva Segovia Producer The Dipilito Producers Harvest Time Spring 2018 Varietal Maragogype Caturra Bourbón
"Miramar, Mexico",Process Washed Sub Region Oaxaca Varietal Bourbon & Typica
10 Year Anniversary Blend,Process Washed Sub Region Nyeri Kenya; Guji Ethiopia Producer Giakanja Kenya; Tabe Burka Ethiopia Harvest Time November 2017 - January 2018 Varietal SL-28 SL-34 Heirloom Elevation 1750
Ethiopia Layo Teraga Washed,Process Washed Sub Region Guji Varietal Heirloom Elevation 1800 - 2200
"Juan Domingo, Guatemala",Process Washed Sub Region Concepción Huista Huehuetenango Producer Juan Domingo Varietal Caturra Pache Verde Elevation 1600 - 1700
"Guatemala, El Sendero, Renardo Ovalle",Process Washed Sub Region Huehuetenango Producer Renardo Ovalle Varietal Bourbon Elevation 1700 - 1900
Guatemala Lazaro Constanza,Process Washed Sub Region Huehuetenango Producer Lazaro Constanza Harvest Time Spring 2018 Varietal Caturra Typica Elevation null - 1900
La Colina Guatemala,Process Washed Sub Region San Martín Jilotepeque Chimaltenango Producer Antonio Medina Varietal Bourbon and Caturra Elevation 1700 - 1700
Ethiopia Gera Limmu,Process Washed Sub Region Oromia Producer Omer Ali Varietal Mixed Heirloom Elevation 1800
Colombia Las Brisas,Process Washed Sub Region Rioblanco Tolima Producer ASOQUEBRADON Growers Association Varietal Caturra Bourbon Typica Castillo Colombia Elevation 1500 - 1900
Tikur Anbessa Organic Ethiopia,Process Washed Sub Region Benti Nenqa and Buku Guji Zone Producer Smallholders and METAD Harvest Time December 2016 - January 2017 Varietal Ethiopian heirlooms
"Colombia, El Meridiano, Tolima",Process Washed Sub Region Tolima Varietal Caturra Typica Colombia Elevation 1500 - 1900
Decaf Ethiopia Kercha,Process Natural/Dry Processed Sub Region Guji Kercha Producer Small producers Harvest Time January 2018 Varietal Heriloom Elevation 1900 - 2100
Kenya Kiganjo,Process Washed Sub Region Kiambu Harvest Time Spring 2018 Varietal SL-28 34 Ruiri. Elevation 1750
"Kolla Bolcha, Ethiopia",Process Washed Sub Region Jimma Producer Kata Muduga Union Cooperative Farmers Harvest Time Winter 2017-2018
Guatemala Finca Palestina Natural,Process Natural/Dry Processed Sub Region Acatenango Producer Joel Perez Harvest Time 2018 Elevation 1500
Ethiopia Yabitu Koba,Process Washed Sub Region Guji Uraga Producer Hana Asrat washing station managed by Feku Jebril Elevation 2160
1950,Process Washed Sub Region Lima Yirgacheffe Elevation 2000
Streetlevel,Process Washed Sub Region Alotenango Chimaltenango Harvest Time November-February Elevation 1500
Onyx Blend,Process Washed Varietal Various
"Daterra, Brazil",Process Pulped Natural Sub Region Cerrado Producer Luis Norberto Pascoal Harvest Time July-September Varietal Bourbon Elevation 1200 - 1200
Los Sueños Decaf,Process Washed Sub Region Huila Harvest Time October-December Varietal Caturra Colombia Castillo Elevation 1500 - 1800
"Gatomboya, Kenya",Process Washed Sub Region Nyeri Harvest Time December-February Varietal SL28 SL34 Elevation 1600 - 2800
"Buufata Konga, Ethiopia",Process Washed Sub Region Yirga Cheffe Harvest Time November-January 2016-2017 Varietal Heirloom Landraces Elevation 2000 - 2000
Gesha Village 2016 Dry Process,Process Natural/Dry Processed Sub Region Gesha Producer Adam Overton and Rachel Samuel Harvest Time November-January 2015-2016 Varietal Heirloom Gesha Elevation 1900 - 2100
"Kanzu, Rwanda",Process Washed Sub Region Nyamasheke Harvest Time April-July 2017 Varietal Heirloom Bourbon Elevation 1800 - 2100
Colombia Jhon Wilson Poveda,Process Washed Sub Region Acevedo Producer Jhon Wilson Poveda Harvest Time October-December 2017 Varietal Caturra Colombia Castillo Elevation 1850 - 1850
Filadelpo Mejia,Process Washed Sub Region Cajamarca Producer Filadelpo Mejia Harvest Time May-August 2017 Varietal Caturra Elevation 1850 - 1850
Arnaud Causse Pacamara,Process Washed Sub Region Pichincha Producer Arnaud Causse Harvest Time August-September 2017 Varietal Pacamara Elevation 1800 - 2100
"Las Acacias, Honduras",Process Washed Sub Region La Paz Marcala Producer Roger Antonio Domínguez Márquez Harvest Time Dec-Feb 18 Elevation 1400
Decaf Espresso,Process Washed Elevation 800
Blueboon,Process Washed Harvest Time Seasonally
Stowaway,Process Washed Sub Region Apaneca Yirgacheffe Producer Carlos Batres and N/A Harvest Time February-March and November-January Varietal Caturra Catuaí Heirloom landraces Elevation 1600
"Vicente Diaz, El Salvador",Process Washed Sub Region Chalatenango Producer Vicente Rafael Diaz Elevation 1350
Flor Del Sol Signature Blend,Process Washed
Third Coast Espresso,Process Washed Varietal Caturra Bourbon Heirloom SL-28 SL-34 Elevation 1700
The Chronic,Process Washed Varietal Bourbon Caturra Catuai
Finca Adiesto Guatemala,Process Washed Sub Region Huehuetenango Varietal Catuai Bourbon Caturra Elevation 1650 - 1650
Shilicho Ethiopia,Process Washed Sub Region Sidama Varietal Heirloom Elevation 1800 - 1800
Colombia AMUCC,Process Washed Producer AMUCC Varietal Castillo
Paradigm Breakfast Blend,Process Washed
Quantum Espresso,Process Washed Natural/Dry Processed
Organic Icebreaker Cold Brew,Process Washed Natural/Dry Processed Sub Region Tolima Colombia; Democracia Guatemala; Oromia Ethiopia. Producer Several Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750
Colombia Finca San Luis Gran Reserve,Process Washed Sub Region Tolima Libano Producer Omar & Patricia Arango Varietal Typica
"El Piquin, Costa Rica",Process Washed Sub Region Dota Varietal Caturra & Catuai
Eye Of The Tiger Espresso,Process Washed Varietal Various
Organic Guatemala Rio Azul,Process Washed Sub Region Huehuetenango Producer Rio Azul Cooperative Harvest Time February-May 2018 Varietal Bourbon Caturra Pache Sarchimor Elevation 1500 - 1800
Bolivia Finca Las Alasitas,Process Washed Sub Region Los Yungas Producer Pedro and Daniela Rodriguez Harvest Time October 2017 Varietal Red Caturra Elevation 1600 - 1650
Bleu,Process Washed Varietal Arabica
Sun Lamp,Process Washed Varietal Changes Seasonally
Peru Norandino,Process Washed Sub Region Piura Amazonas Cajamarca San Martin Producer Norandino Harvest Time November 2017 Varietal Caturra bourbon catuai pache villa sarchi catimor Elevation 1100 - 1700
Bolivia Finca Las Alasitas,Process Washed Sub Region Los Yungas Producer Pedro and Daniela Rodriguez Harvest Time October 2017 Varietal Red Caturra Elevation 1600 - 1650
Brazil,Process Pulped Natural Sub Region Patos de Minas Producer Wagner Ferrero Varietal Yellow Catuai Yellow Bourbon Elevation 1150
Karinga Kenya,Process Washed Sub Region Thika District Central Province Producer Members of Karinga Factory Harvest Time January 2017 Varietal SL-28 and SL-34 Elevation 1900 - 1900
"Biftu Gudina, Ethiopia",Process Washed Sub Region Jimma Oromia Varietal Native Heirloom Elevation 1975 - 2200
Ethiopia Chelbessa,Process Washed Sub Region Gedeo Yirgacheffe Producer Various Smallholders Harvest Time June 2018 Elevation 2100
Kenya Karatina,Process Washed Sub Region Nyeri Producer Barichu Farmers Cooperative Society Harvest Time May 2018 Elevation 1800
Honduras Alma Pineda,Process Washed Sub Region El Cedral Santa Barbara Producer Alma Pineda Harvest Time February 2018 - May 2018 Elevation 1400
Orion Signature Espresso,Process Washed Natural/Dry Processed Varietal Heirloom Bourbon Castillo Caturra
Decaf Union Blend,Process Washed Sub Region Cajamarca Varietal Typica Caturra Bourbon Elevation 1200
House Blend,Process Washed
Neon Espresso,Process Washed Sub Region Tarrazu Guji Producer Luis Ureña (CR) & 385 smallholders (E) Harvest Time dec-apr (CR) nov-jan (E) Varietal Catuai Mixed Ethiopian Heirloom Elevation 1800
Fulton Street,Process Washed
Angel City,Varietal Arabica
Bleu,Process Washed Varietal Arabica
Sun Lamp,Process Washed Varietal Changes Seasonally
Hudson,Process Washed Varietal Bourbon Caturra Catuai Catimor Pacas Typica Elevation 1300
Prospect,Process Washed
Night Moves Dark Roast,Process Washed Sub Region Cajamarca Harvest Time October 2017 Varietal Typica Bourbon Elevation 1500
Brazil Fazenda Primavera,Process Pulped Natural Sub Region Minais Gerais Harvest Time September 2017 Varietal Mundo Novo Elevation 1000 - 1050
West Coast,Process Washed Varietal Multiple
"Decaf La Union, Colombia",Process Washed Sub Region Narino Harvest Time December May - July 2017 Varietal Castillo Elevation 1718 - 1730
Guatemala Atitlán el Grano,"Process Washed Sub Region Lake Atitlán Producer ""APROCAFE Growers Association"" Varietal Bourbon Catuaí Caturra Pache Elevation 1550"
Presidio Decaf,Process Washed Varietal various
Venice,Varietal Arabica
Sumatra,Process Pulped Natural Varietal Hibrido de Timo Bourbon
West End Blues,Process Washed Varietal Changes Seasonally
Phantom Limb Blend,Process Washed Natural/Dry Processed Sub Region Sidama Harvest Time November-April Varietal Ethiopian Heirloom Elevation 1700
Decaf Colombia Los Idolos,Process Washed Sub Region San Agustin Huila Producer Several Growers Associations in Huila Harvest Time march-june Varietal Caturra
House Blend,Process Washed Varietal Bourbon Typica Catuai Caturra Elevation 1200
02 Filter,Process Washed Sub Region San Lorenzo; Oromia Jimma Zone Gome District Producer Gabriel Alarcon; 210 Smallholder Farmers Varietal Colombia Castillo Caturra Ethiopia Heirloom Elevation 1980
Queen City,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1200
Colombia Santa Barbara Decaf,Process Washed Varietal Arabica Elevation 1400 - 2000
No.7 House Blend,Process Washed Varietal Caturra Typica
Owl's Howl,Process Washed Harvest Time Seasonally
Colombia La Pradera,Process Washed Sub Region Santander Producer Hacienda La Pradera Harvest Time October 2017 Varietal Castilla caturra colombia Elevation 1750 - 1950
"Sugarcane Decaf, Colombia",Process Washed Varietal Caturra Castillo Colombia Elevation 1525 - 1600
Decaffeinated Colombia San Jose,Process Washed Sub Region Cauca Producer Mixed Varietal Caturra Elevation 1400
Organic Infrared,Process Washed Natural/Dry Processed Sub Region Tolima Democracia Harvest Time May 2017 Varietal Typica Caturra Bourbon Colombia Elevation 1750
Flatlander Signature Blend,Process Washed Pulped Natural Varietal Various
Novacella Decaf,Process Washed Varietal Bourbon Typica Elevation 1000
Flatlander Signature Blend,Process Washed Pulped Natural Varietal Various
Novacella Decaf,Process Washed Varietal Bourbon Typica Elevation 1000
Blacksmith Espresso,Process Washed Pulped Natural Sub Region Carmo de Minas Tarrazu Tolima Harvest Time May 17-April 18 Varietal Yellow Catuai Colombia Castillo Elevation 945
Bassline Espresso Blend,Process Washed Pulped Natural Sub Region Minais Gerais Sidamo Harvest Time September 2017 Varietal Yellow Bourbon Heirloom Ethiopian Elevation 1100
Foundation Blend,Process Washed Natural/Dry Processed Pulped Natural Varietal Bourbon Caturra Heirloom
Binary Espresso,Process Pulped Natural Sub Region Mogiana Harvest Time 2017 Varietal Bourbon
French Roast,Process Wet-hulled Sub Region Sumatra Java Varietal Catimor Bourbon Typica Caturra Elevation 1200 - 1500
Jaguar Espresso Fair Trade Organic,Process Washed Natural/Dry Processed Wet-hulled Varietal Various
Decaf Colombia Planadas,Process Washed Sub Region Tolima Varietal Castillo Caturra Elevation 1450 - 1500
Colombia Roasters United Blend,Process Washed Varietal Various
For Haiti,Process Washed Pulped Natural Varietal Arabica
Cosmopolitan,Process Washed Wet-hulled Varietal Caturra Catuai Typica Heirloom Elevation 1000
Finca La Union,Process Washed Sub Region Chirinos Varietal Caturra Typica Elevation 1800 - 1800
Guatemala Finca Nuevo Vinas,Process Washed Sub Region Santa Rosa Producer Keller Harvest Time December - February Varietal Caturra Catual Pacamara Elevation 1200 - 1500
Vito's,Process Washed Pulped Natural Varietal Bourbon Caturra
Costa Rica La Candelilla,Process Washed Producer Sanchez Varietal Caturra Catuai Elevation 1400 - 1700
Guatemala,Process Washed Sub Region Antigua Varietal Pache Catuai Elevation 1400 - 2100
Indonesia,Process Wet-hulled Sub Region Northern Sumatra & Aceh Varietal Crowned Garuda (Arabica) Elevation 1100 - 1300
Moka Java,Process Washed Natural/Dry Processed Wet-hulled Varietal Heirloom Crowned Garuda (Arabica) Caturra
Jackalope Decaf,Process Washed Sub Region Huila Varietal Caturra Colombia Elevation 1900
PH Blend,Process Washed Sub Region Cajamarca Sidamo Harvest Time October 2017 Varietal Typica Heirloom Ethiopia Elevation 1500
Keystone Blend,Process Washed Varietal Castillo Caturra Heirloom
Decaf Bitches Brew,Process Washed Natural/Dry Processed Varietal Arabica
Santarossa Blend,Process Washed Pulped Natural Varietal Various
Mexico Sierra Sur,Process Washed Sub Region Sierra Sur Varietal Arabica Elevation 1700 - 1900
Black Velvet,Process Washed Varietal Bourbon Typica Catuai Caturra Elevation 1300
Ethiopia Kochere,Process Washed Sub Region Kochere Varietal Heirloom varietals Elevation 1800 - 2000
Colombia El Meridiano,Process Washed Sub Region Tolima Producer 58 families Harvest Time December 2017 Varietal Caturra Colombia Typica Elevation 1500 - 1900
Petunias,Process Washed Natural/Dry Processed Varietal Caturra
"El Guamo, Colombia",Process Washed Sub Region Huila Producer Benedicto Yara Harvest Time Winter 2017 Varietal Caturra Elevation 1780 - 1980
Ethiopia Reko,Process Washed Sub Region Kochere Yirgacheffe Producer Reko Washing Station Harvest Time November 2017 - January 2018 Varietal Heirloom Elevation 1850 - 2100
Novo Decaf,Process Washed Sub Region Veracruz Harvest Time November 2017- February 2018
Burundi Gacokwe,Process Washed Sub Region Rango Kayanza Harvest Time Apr-Jun 17 Varietal Bourbon Mibirizi Elevation 1650 - 1650
Primo's,Process Natural/Dry Processed Varietal Bourbon Elevation 1200
Thriller,Process Washed Varietal Bourbon SL28 SL34 Linie S795 Jember
La Tortuga Honduras,Process Washed Sub Region Mogola San Jose Marcala Producer Fabio Antonio Caballero Harvest Time January - February 2018 Varietal Catuai Bourbon
"El Limonar, Guatemala",Process Washed Sub Region Huehuetenango Producer Mendez Harvest Time October - March Varietal Arabica Elevation 1524 - 1850
"Chelelektu, Ethiopia",Process Washed Sub Region Yirgacheffe Producer Smallholder Farms Varietal Heirloom
"Yosotatu Reserva, Mexico",Process Washed Sub Region Oaxaca Varietal Bourbon & Typica
Kenya AA Ruthagati,"Process Washed Sub Region Nyeri Producer ""Rutuma Farmers Coop Society"" Harvest Time March 2019 Varietal SL 28 SL 34 Elevation 1650 - 1700"
Snow Leopard,Process Washed Varietal Various
Ethiopia Wuri,Process Washed Sub Region Gedeb Producer Small Producers Harvest Time January 2018 Varietal Heirloom Elevation 1900 - 2100
Kenya Kiamugumo,Process Washed Sub Region Kiamugumo Varietal Sl 28 Sl 34 Elevation 1500
Ethiopia Kochere,Process Natural/Dry Processed Sub Region Kochere Varietal Heirloom Elevation 1800 - 1900
Guatemala El Olvido,Process Washed Sub Region Huehuetenango Producer Danny Perez Varietal Pacamara Elevation 1700 - 1750
Kenya Ngewa Komothai,Process Washed Sub Region Kiambu Harvest Time Oct - Jan 2018 Varietal SL-28 & SL-34 Elevation 1850 - 2100
"Guji Uraga, Ethiopia",Process Washed Sub Region Oromia Varietal Indigenous Heirloom Varieties Elevation 1650 - 1800
Stella Cometa Espresso Blend,Process Washed Pulped Natural Varietal Yellow Catuai Yellow Bourbon Caturra Pache Pacas Elevation 1150
Colombia,Process Washed Sub Region Huila Varietal Caturra Colombia Elevation 1900
Kenya Mount Kenya,Process Washed Sub Region Kirinyaga County Harvest Time March 2018 Varietal SL-28 SL-24 Ruiri-11 Elevation 1700 - 1800
Costa Rica Francisco Ruiz,Process Honey Sub Region Tambor Producer Francisco Ruiz Bolaños & Jaime Ruiz Carmona Varietal Caturra Catuai Elevation 1600
Guatemala San Antonio,Sub Region Huehuetenango Harvest Time 2018 Elevation 2000
Bella Luna Decaf,Process Washed Sub Region Chiapas Varietal Various
Colombia Cauca,Process Washed Sub Region Cauca Harvest Time Jul-Sep 17 Varietal Castillo Elevation 1200 - 2100
Peru El Pino,Process Washed Sub Region Jaen Cajamarca Producer Miguel Garcia Harvest Time Aug-Oct 17 Varietal Caturra Catimor Typica Elevation 1700 - 1700
Itzamná Guatemala,Process Washed Sub Region Huehuetenango Guatemala Producer Mauricio Rosales Harvest Time January - April 2018 Varietal Caturra Bourbon
El Salvador Santa Rosa Washed,Process Washed Sub Region Chalatenango Producer Jorge Raul Rivera Varietal Pacamara Elevation 1800 - 1850
"El Molino, El Salvador",Process Natural/Dry Processed Producer The Salaverria family Varietal Bourbon
"Capucas, Honduras",Process Washed Sub Region Copan Producer Las Capucas Varietal Caturra Bourbon Catuai Pacas
Decaf Ethiopia Moredocofe Organic,Process Washed Sub Region Sidamo Guji Zone Producer Ato Haile Gebre Varietal Local Heirloom Varieties Elevation 6000 - 6500
"Miramundo, Guatemala",Process Washed Sub Region Santa Rosa Varietal Bourbon & Typica
"Pulcal, Guatemala",Process Washed Sub Region Antigua Varietal Bourbon & Typica
Wildcat,Process Washed Varietal Heirloom
Kenya Gathaithi,Process Washed Sub Region Nyeri Harvest Time January 2018 Varietal SL-28 & SL-32 Elevation 1700 - 1700
Guatemala El Zapote Caturra,Process Washed Sub Region Acatenango Producer Julio Perez Harvest Time 2018
Decaf Caldas,Process Washed Sub Region Caldas Harvest Time January – February 2018 Elevation 1200
Honduras Gerard Trejo,Process Washed Sub Region Santa Barbara Producer Gerardo Trejo Harvest Time March 2018 Elevation 1500
Organic Guatemala Adipy,"Process Washed Sub Region ""Qejnhah Huehuetenango"" Producer CODECH Cooperative ADIPY Association Harvest Time January 2018 - April 2018 Elevation 1750"
Honduras Nelson Ramirez,Process Washed Sub Region El Cielito Santa Barbara Producer Nelson Ramirez Elevation 1450
Decaf Ethiopia Moredocofe Organic,Process Washed Sub Region Sidamo Guji Zone Producer Ato Haile Gebre Varietal Local Heirloom Varieties Elevation 6000 - 6500
El Salvador La Montanita,Process Honey Sub Region El Tùnel Chaletenango Producer Antonio René Aguilar Varietal Pacamara Elevation 1350 - 1700
Bolivia Inquisivi,Process Washed Sub Region South Yungas La Paz Producer Various Small Holders Harvest Time September Varietal Caturra Typica Elevation 1700 - 1900
Costa Rica Naranjo,Process Washed Sub Region Cañuela Naranjo West Valley Varietal Caturra Catuai Elevation 1000 - 1400
El Salvador Natamaya,Process Washed Sub Region Sonsonate Department Producer Hermann and Nena Mendez Varietal Bourbon Elevation 1400 - 1550
Costa Rica La Bandera,Process Honey Sub Region Tarrazu Producer Diego Hidalgo Harvest Time March 2018 Varietal Caturra Elevation null - 1900
Autumn Blend,Process Washed Varietal Heirloom Caturra Bourbon Typica
Kenya Baragwi Thimu Peaberry,Process Washed Sub Region Kirinyaga Producer Thimu Factory Varietal SL-28 Ruiru 11 SL-34 Elevation 1700 - 1800
Finca El Limonar,Process Washed Sub Region La Libertad Producer Rosa Maria Ovalle Harvest Time May Varietal Villa Sarchi Elevation 1700 - 1700
Guatemala Oscar Calmo,Process Washed Sub Region Todos Los Santos Chuchumatán Huehuetenango Producer Oscar David Calmo Varietal Pache Caturra Elevation 1550 - 1550
Guatemala Octavio López,Process Washed Sub Region Huehuetenango Producer Octavio López Camposeco Varietal Caturra Catuai Elevation null - 1600
Guatemala Octavio López,Process Washed Sub Region Huehuetenango Producer Octavio López Camposeco Varietal Caturra Catuai Elevation null - 1600
Colombia Luis Alberto Montoya,Process Washed Sub Region Antioquia Producer Luis Alberto Montoya Varietal Caturra Elevation null - 1980
Ethiopia Bokasso,Process Washed Sub Region Yirgalem District Sidama Producer Bokasso Co-Operative Harvest Time September-December Varietal Ethiopia Heirloom Elevation 1900 - 2100
Costa Rica Sumava,Process Honey Sub Region Lourdes de Naranjo West Valley Producer Francisco Mena Harvest Time January-April Elevation 1670
Ethiopia Sakaro,Process Washed Sub Region Gedeb District Producer Various Smallholder Farmers Harvest Time December - March Varietal Ethiopia Heirloom Elevation 2000 - 2400
Ethiopia Bokasso,Process Washed Sub Region Yirgalem District Sidama Producer Bokasso Co-Operative Harvest Time September-December Varietal Ethiopia Heirloom Elevation 1900 - 2100
Ethiopia Tabe Burka,Process Washed Sub Region Guji Harvest Time Spring 2018 Varietal Heirloom Elevation 1850
Antigua La Flor,Process Washed Sub Region Antiqua Producer La Flor Del Cafe Varietal Bourbon Caturra Catuai Elevation 5500 - 6000
Blackstrap,Process Washed Natural/Dry Processed Varietal Bourbon Caturra Catuai Catimor Icatu Mondo Novo Pacas Typica Ethiopia Heirloom Elevation 1200
Dharma Espresso Blend,Process Washed Natural/Dry Processed Honey Sub Region Sidamo Matas de Minas Central Valley Varietal Ethiopia Heirloom Caturra Typica Red Catuai Elevation 1200
Keystone,Process Washed Sub Region Boquete Yirgacheffe Producer Vidal Suarez N/S Harvest Time March-April November-January Varietal Typica Heirloom landraces Elevation 1600
Bistro Blend,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1000
"Mario Moreno 2017, Honduras",Process Washed Sub Region Santa Barbara Producer Mario Moreno Harvest Time January-June 2017 Varietal Bourbon Elevation 1550 - 1550
Gesha Village 2017 Wet Processed,Process Washed Sub Region Gesha Producer Adam Overton and Rachel Samuel Harvest Time November-January 2016-2017 Varietal Heirloom Gesha Elevation 1900 - 2100
El Injerto Pacamara,Process Washed Sub Region Huehuetenango Producer Arturo Aguirre Harvest Time March 2017 Varietal Pacamara Elevation 1750 - 1750
"Las Palomas, Guatemala",Process Washed Sub Region Huehuetenango Harvest Time February-April 2017 Varietal Bourbon Caturra Catuaí Elevation 1800 - 1975
"Los Yoyos, Honduras",Process Washed Sub Region Santa Barbara Producer Eulogio Martinez Harvest Time January-June 2017 Varietal Parainema Elevation 1400 - 1400
Colombia Jesus Antonio Saavedra,Process Washed Sub Region Tolima Producer Jesus Antonio Saavedra Harvest Time June-August 2017 Varietal Caturra Elevation 1700 - 1700
"Laurina, Brazil",Process Natural/Dry Processed Sub Region Cerrado Producer Luis Pascoal Harvest Time August-September 2016 Varietal Laurina Elevation 1100 - 1100
Colombia Guillermo Rojas,Process Washed Sub Region Acevedo Producer Guillermo Rojas Harvest Time October-December 2017 Varietal Colombia Castillo Elevation 1500 - 1500
Ecuador La Yumbada Caturra,Process Washed Sub Region Pichincha Producer Rommy Idrobo and Christian Marlin Harvest Time August-September 2017 Varietal Caturra Elevation 1800 - 1950
Ecuador La Yumbada Sidra,Process Washed Sub Region Pichincha Producer Rommy Idrobo and Christian Marlin Harvest Time August-September 2017 Varietal Sidra Elevation 1800 - 1950
Bistro Blend,Process Washed Natural/Dry Processed Varietal Bourbon Typica Elevation 1000
Six One Six Blend,Process Washed Sub Region Santa Barbara Honduras; Tarrazú Costa Rica Elevation 1700
Colombia Aponte Village,Process Honey Sub Region Nariño Varietal Caturra & Bourbon Elevation 2000 - 2100
"Nicaragua, Los Magos Del Monte",Process Washed Sub Region Nueva Segovia Producer Small group of producers Varietal Catuai Bourbon Caturra Elevation 1400 - 1500
Bella Carmona,Process Washed Sub Region Antigua Producer Zelaya Family Varietal Caturra Bourbon Tekisic Dwarf Bourbon Bourbon 300 Elevation 1500 - 1800
Emporium House Blend,Process Washed Pulped Natural Varietal Bourbon Pacas Caturra Pache & Catuai
Bear Hug Espresso,Process Washed Pulped Natural Sub Region Tarrazu Cajamarca Valle de Grama Producer Luis Ureña (CR) Valentin Guerrero Zurita (P) Carvalho Family (B) Harvest Time dec-apr (CR) may-aug (P) apr-sept (B) Varietal Catuai Bourbon Typica Caturra Yellow Bourbon Elevation 1800 (CR) 1350 (P) 950 (B)
Ultraviolet,Process Washed Sub Region Kibugu village Embu County Harvest Time October - December Varietal SL-28 Ruiru Elevation 1650
