name,extra
Colombia San Roque,Process Washed Varietal Arabica Elevation 1500 - 1700
Black Gold,Process Natural/Dry Processed Varietal Arabica
Penrose v18,Process Washed Natural/Dry Processed Sub Region Santa Ana Producer Emilio Lopez Diaz Harvest Time October 2017 – February 2018 Varietal Pacas Elevation 1000
Ethiopia Yirgz,Process Washed Sub Region Yirgacheffe Varietal Arabica Elevation 1850 - 2100
Kenya Kiunyu OT-18,Process Washed Sub Region Nyeri Producer Kiunyu Factory Varietal SL-28 SL-34 Elevation 1900 - 2000
Burundi Murambi,Process Washed Sub Region Muyinga Producer Small Holders Harvest Time May-July 2017 Varietal Bourbon Elevation 1400 - 1600
Ethiopia Bensa Shantawene,Process Washed Sub Region Sidama Harvest Time November through February Varietal Mikicho Setami Heirloom Elevation 2000 - 2300
"Yabitu Koba, Ethiopia",Process Washed Sub Region Guji Varietal Heirloom Elevation null - 2300
Kenya Kihuyo AB,Process Washed Sub Region Nyeri Harvest Time Spring 2018 Varietal Sl 28 34 Elevation 1800
Ethiopia Dimtu,Process Natural/Dry Processed Sub Region Hambela Harvest Time November 2017 - January 2018 Varietal Heirloom Elevation 2004 - 2004
Panama Ojo De Agua,Process Washed Sub Region Chiriqui Producer Hartmann Family Harvest Time Jan 2018 - March 2018 Elevation 1600
Vancouver Decaf,Process Washed Sub Region Various Producer Various Harvest Time December - April Elevation 1900
Kenya Gititu Peaberry,Process Washed Sub Region Kiambu County Producer Gititu Farmers’ Cooperative Society Harvest Time October - December Varietal SL-28 SL-34 Ruiru 11 Elevation 1400 - 1800
El Diablo Dark Roast,Process Washed
Montecarlos Pacamara,Process Washed Sub Region Apaneca Producer Carlos and Julie Batres Harvest Time February-March Varietal Pacamara Elevation 1600 - 1800
"Kiangoi AA, Kenya",Process Washed Sub Region Kirinyaga Harvest Time null December-February 2016-2017 Varietal SL28 and SL34 Elevation 1650 - 1650
Burundi Kibingo,Process Washed Sub Region Kayanza Harvest Time April-July 2017 Varietal Heirloom Bourbon Elevation 1900 - 1900
Water Processed Decaf,Process Natural/Dry Processed Sub Region Guaxupé Varietal Red Catuaí
Tarrazu Vienna,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890
Nizza,Process Washed Pulped Natural Varietal Arabica
