,name,extra,process,sub region,varietal,elevation,harvest time,producer
196,Colombia San Sebastian,Process Washed Sub Region Huila Producer Occicafe Harvest Time Nov 2017-Jan 2018 Varietal Caturra/Colombia Elevation 1500 - 1900,Process Washed,Sub Region Huila,Varietal Caturra/Colombia,Elevation 1500 - 1900,Harvest Time Nov 2017-Jan 2018,Producer Occicafe
197,Tarrazu French,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890,Process Washed,Sub Region Tarrazu,Varietal Caturra & Catuai,Elevation 1190 - 1890,Harvest Time January 2018 ,
198,Kurimi Organic Ethiopia,Process Washed Sub Region Chelbesa Gedeo Zone Producer Metad + local smallholders Harvest Time December 2017 - January 2018 Varietal Ethiopian heirlooms,Process Washed,Sub Region Chelbesa Gedeo Zone,Varietal Ethiopian heirlooms,,Harvest Time December 2017 - January 2018,Producer Metad + local smallholders
199,Black Magic - Espresso Blend,"['Process', 'Natural/Dry', 'Processed', 'Varietal', 'Arabica']","['Process', 'Natural/Dry', 'Processed']",,"['Varietal', 'Arabica']",,,
200,Colombia Luis Reinoso,Process Washed Sub Region Herrera Tolima Producer Luis and Yenny Reinoso Harvest Time November 2017 Varietal Caturra Bourbon Elevation 1700 - 1800,Process Washed,Sub Region Herrera Tolima,Varietal Caturra Bourbon,Elevation 1700 - 1800,Harvest Time November 2017,Producer Luis and Yenny Reinoso
201,FTO Decaf Espresso,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
203,Colombia San Sebastian,Process Washed Sub Region Huila Producer Occicafe Harvest Time Nov 2017-Jan 2018 Varietal Caturra/Colombia Elevation 1500 - 1900,Process Washed,Sub Region Huila,Varietal Caturra/Colombia,Elevation 1500 - 1900,Harvest Time Nov 2017-Jan 2018,Producer Occicafe
204,Tarrazu French,Process Washed Sub Region Tarrazu Harvest Time January 2018 Varietal Caturra & Catuai Elevation 1190 - 1890,Process Washed,Sub Region Tarrazu,Varietal Caturra & Catuai,Elevation 1190 - 1890,Harvest Time January 2018,
205,Kurimi Organic Ethiopia,Process Washed Sub Region Chelbesa Gedeo Zone Producer Metad + local smallholders Harvest Time December 2017 - January 2018 Varietal Ethiopian heirlooms,Process Washed,Sub Region Chelbesa Gedeo Zone,Varietal Ethiopian heirlooms,,Harvest Time December 2017 - January 2018,Producer Metad + local smallholders
206,West Pole Dark Roast,Process Washed Sub Region Huila Varietal Caturra Colombia Elevation 1900,Process Washed,Sub Region Huila,Varietal Caturra Colombia,Elevation 1900,,
207,Ethiopia Guji Organic,Process Natural/Dry Processed Sub Region Guji Varietal Heirloom,Process Natural/Dry Processed,Sub Region Guji,Varietal Heirloom,,,
208,"Santa Julia, El Salvador",Process Washed Sub Region Santa Ana Producer Salaverria Family Varietal Pacas Bourbon Elevation 1545,Process Washed,Sub Region Santa Ana,Varietal Pacas Bourbon,Elevation 1545,,Producer Salaverria Family
209,Dark,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Mundo', 'Novo', 'Red', 'and', 'Yellow', 'Catua', 'Topazio']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Mundo', 'Novo', 'Red', 'and', 'Yellow', 'Catua', 'Topazio']",,,
210,Klatch House Espresso,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Various']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Various']",,,
211,Italian Roast,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
212,FTO Rainforest Blend,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
213,Parts & Labor Blend,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Catuai', 'Ethiopia', 'Heirloom', 'Elevation', '1100']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Catuai', 'Ethiopia', 'Heirloom', 'Elevation', '1100']","['Elevation', '1100']",,
214,Black Magic - Espresso Blend,"['Process', 'Natural/Dry', 'Processed', 'Varietal', 'Arabica']","['Process', 'Natural/Dry', 'Processed']",,"['Varietal', 'Arabica']",,,
215,Skeleton Key Decaf,Process Washed Harvest Time July-October Varietal Bourbon Typica Caturra,Process Washed,,Varietal Bourbon Typica Caturra,,Harvest Time July-October Varietal Bourbon Typica Caturra,
216,Phocea,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Arabica']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Arabica']",,,
217,Louisiane,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Arabica']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Arabica']",,,
218,Afrique,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,Varietal Arabica,,,
220,"Konga, Ethiopia",Process Washed Sub Region Yirgacheffe Producer YCFCU Harvest Time Nov-Jan Elevation 1700 - 2300,Process Washed,,,,,
221,Daterra,Process Natural/Dry Processed Sub Region Cerrado Producer Luis Norberto Pascoal Harvest Time July 2017 Varietal Bourbon Elevation 3600 - 3900,Process Natural/Dry Processed,Sub Region Cerrado,Varietal Bourbon ,Elevation 3600 - 3900,Harvest Time July 2017,Producer Luis Norberto Pascoal
222,Decaf Colombia La Serrania,Process Washed Sub Region Huila Producer Smallholder Farmers Elevation 1500 - 1900,Process Washed,Sub Region Huila,,Elevation 1500 - 1900,,Producer Smallholder Farmers
223,Decaf Blackstrap,Process Natural/Dry Processed Sub Region Mogiana Harvest Time May-July Elevation 800 - 1200,Process Natural/Dry Processed,Sub Region Mogian,,Elevation 800 - 1200,Harvest Time May-July,
224,Chicago House Blend,Process Washed Pulped Natural Sub Region Cajamarca Minais Gerais Harvest Time October 2017 Varietal Typica Yellow Bourbon Elevation 1100,Process Washed Pulped Natural,Sub Region Cajamarca Minais Gerais Harvest Time October 2017 Varietal Typica Yellow Bourbon Elevation 1100,Varietal Typica Yellow Bourbon,,Harvest Time October 2017 Varietal Typica Yellow Bourbon Elevation 1100,
225,Monte Carlo Decaf,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']",,"['Varietal', 'Arabica']",,,
226,Fishtown,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,Varietal Arabica,,,
227,Rocketeer,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra', 'Elevation', '1300']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Typica', 'Catuai', 'Caturra',",", 'Elevation', '1300']",,
228,Bitches Brew,"['Process', 'Natural/Dry', 'Processed', 'Varietal', 'Arabica']","['Process', 'Natural/Dry', 'Processed']",,"['Varietal', 'Arabica']",,,
229,Blendo Stupendo,"['Process', 'Washed', 'Pulped', 'Natural', 'Varietal', 'Caturra', 'Yellow', 'Icatu', 'Elevation', '1250']","['Process', 'Washed', 'Pulped', 'Natural']",,"['Varietal', 'Caturra', 'Yellow', 'Icatu', 'Elevation', '1250']","['Elevation', '1250']",,
230,Black Bear Blend,"['Process', 'Washed', 'Varietal', 'Mixed']","['Process', 'Washed']",,"['Varietal', 'Mixed']",,,
231,Bourbon,Process Washed Natural/Dry Processed Varietal Arabica,Process Washed Natural/Dry Processed,,Varietal Arabica,,,
232,The Waverly,Process Washed Sub Region Cajamarca Peru; Tarqui Huila Colombia Harvest Time Peru: July-September Colombia: April-July September-February Varietal Typica Caturra Bourbon Pache Colombia Elevation 1200,Process Washed,Sub Region Cajamarca Peru; Tarqui Huila Colombia,Varietal Typica Caturra Bourbon Pache Colombia,Elevation 1200,Harvest Time Peru: July-September Colombia: April-July September-February,
233,Rally,"['Process', 'Washed', 'Varietal', 'Typica', 'Caturra', 'Pache', 'Bourbon', 'Catimor', 'Catuai']","['Process', 'Washed']",,"['Varietal', 'Typica', 'Caturra', 'Pache', 'Bourbon', 'Catimor', 'Catuai']",,,
234,Organic Driftless,Process Washed Sub Region Concepcion Huista Producer CODECH Cooperative Harvest Time March 2017 Varietal Caturra Catuai Pache Verde Bourbon & Colombia Castillo Elevation 1750,Process Washed,Sub Region Concepcion Huista Producer CODECH Cooperative ,Varietal Caturra Catuai Pache Verde Bourbon & Colombia Castillo,Elevation 1750,Harvest Time March 2017,
235,Nightcap House Decaf,Process Washed Sub Region Matagalpa Harvest Time November-February Varietal Red Catuaí Yellow Catuaí Elevation 900,Process Washed,Sub Region Matagalpa,Varietal Red Catuaí Yellow Catuaí,Elevation 900,Harvest Time November-February,
237,Decaf Librarian's Blend,"['Process', 'Washed', 'Varietal', 'Bourbon']","['Process', 'Washed']",,"['Varietal', 'Bourbon']",,,
239,Decaf Brazil,Process Washed Elevation 800,Process Washed,,,Elevation 800,,
240,Brazil Fazenda Primavera,Process Natural/Dry Processed Sub Region Chapada De Minas Producer Ricardo Tavares Harvest Time September 2017 Varietal Yellow Catuai Elevation 1000 - 1000,Process Natural/Dry Processed,Sub Region Chapada De Minas ,Varietal Yellow Catuai,Elevation 1000 - 1000,Harvest Time September 2017,Producer Ricardo Tavares 
241,Karmadillo Dark Espresso Blend,"['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural', 'Wet-hulled', 'Varietal', 'Yellow', 'Bourbon', 'Yellow', 'Catuai', 'Caturra', 'Pache', 'Crowned', 'Garuda', 'Heirloom', 'Elevation', '1150']","['Process', 'Washed', 'Natural/Dry', 'Processed', 'Pulped', 'Natural','Wet-hulled']",,"Varietal', 'Yellow', 'Bourbon', 'Yellow', 'Catuai', 'Caturra', 'Pache', 'Crowned', 'Garuda', 'Heirloom'","Elevation', '1150'",,
242,Burundi Karehe Single Origin Espresso,Process Washed Sub Region Ngozi Province Producer Karehe Washing Station Varietal Bourbon Elevation 1760,Process Washed,Sub Region Ngozi Province,Varietal Bourbon,Elevation 1760,,Producer Karehe Washing Station
243,Decaf Chicago House Blend,Process Pulped Natural Sub Region Minais Gerais Harvest Time September 2017 Varietal Bourbon Icatu Elevation 1100,Process Pulped Natural,Sub Region Minais Gerais,Varietal Bourbon Icatu,Elevation 1100,Harvest Time September 2017,
244,Crazy Goat,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
245,Papua New Guinea,Process Washed Producer Wau Co-Op Varietal Typica Jamaica Blue Mountain,Process Washed,,Varietal Typica Jamaica Blue Mountain,,,Producer Wau Co-Op
247,Kenya Nyeri Kiruga AA,Process Washed Sub Region Othaya Varietal SL28  SL34 Elevation 1600 - 1800,Process Washed,Sub Region Othaya ,Varietal SL28 SL34,Elevation 1600 - 1800,,
248,Decaf Los Gigantes,Process Washed Sub Region Gigante Huila Department Producer Desarrollo Producer Group Harvest Time Summer 2017 Varietal Caturra,Process Washed,Sub Region Gigante Huila Department,Varietal Caturra,,Harvest Time Summer 2017,Producer Desarrollo Producer Group
249,Costa Rica Cerro La Cruz,Process Washed Sub Region Tarrazu Producer Esquivel Bararantes Harvest Time Nov-March 2018 Varietal Caturra Red Catuai Elevation 1600 - 1900,Process Washed,Sub Region Tarrazu,Varietal Caturra Red Catuai,Elevation 1600 - 1900,Harvest Time Nov-March 2018,Producer Esquivel Bararantes
250,Hambela Estate – Alaka,Process Natural/Dry Processed Sub Region Hambela Guji Producer Adinew Harvest Time October 2017 – January 2018 Varietal Heirloom Elevation 1900 - 2200,Process Natural/Dry Processed,Sub Region Hambela Guji,Varietal Heirloom,Elevation 1900 - 2200,Harvest Time October 2017 – January 2018,Producer Adinew
251,El Salvador,Process Pulped Natural Sub Region Juayua Producer Jose Antonio Salaverria Varietal Bourbon & Pacas Elevation 1500 - 1750,Process Pulped Natural,Sub Region Juayua,Varietal Bourbon & Pacas,Elevation 1500 - 1750,,Producer Jose Antonio Salaverria
252,Jackie Oh Decaf,Process Washed Sub Region Chiapas Varietal Various,Process Washed,Sub Region Chiapas,Varietal Various,,,
253,Cold Brew Blend,"['Process', 'Washed', 'Varietal', 'Blend']","['Process', 'Washed']",,"['Varietal', 'Blend']",,,
254,Decaf Highline,"['Process', 'Washed', 'Varietal', 'Blend']","['Process', 'Washed']",,"['Varietal', 'Blend']",,,
255,Fresh Crop Bright,Process Washed Harvest Time January 2017 Varietal Heirloom Elevation 1800,Process Washed,,Varietal HeirloomElevation 1800,Elevation 1800,Harvest Time January 2017 Varietal Heirloom Elevation 1800,
257,Blue Thunder,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
258,Papua New Guinea YUS,Process Washed Sub Region Huon Peninsula Harvest Time May-August Varietal Typica Bourbon St Raymond Elevation 1200 - 1500,Process Washed,Sub Region Huon Peninsula,Varietal Typica Bourbon St Raymond,Elevation 1200 - 1500,Harvest Time May-August,
259,Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,Process Washed Natural/Dry Processed,,Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,,,
260,Carmela's,Process Washed Natural/Dry Processed Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,Process Washed Natural/Dry Processed,,Varietal Brasil - Bourbon Mundo Novo. Colombia - Caturra Castillo Typica. Guatemala - Pache Caturra.,,,
261,Burundi - Nkonge Natural,Process Natural/Dry Processed Producer Long Miles Coffee Project Varietal Bourbon Elevation 1900 - 2100,Process Natural/Dry Processed,,Varietal Bourbon,Elevation 1900 - 2100,,Producer Long Miles Coffee Project 
263,Guatemala,Process Washed Sub Region Huehuetenango Producer William Perez Varietal Caturra Elevation 1800 - 2100,Process Washed,Sub Region Huehuetenango,Varietal Caturra,Elevation 1800 - 2100,,Producer William Perez
264,Flecha Roja Costa Rica,Process Washed Sub Region Dota Tarrazu Producer Roberto & Michael Mata Harvest Time January - February 2018 Varietal Caturra Catuai,Process Washed,Sub Region Dota Tarrazu,Varietal Caturra Catuai,,Harvest Time January - February 2018,Producer Roberto & Michael Mata
265,Cherry Picker,Process Washed Natural/Dry Processed Sub Region Guji Harvest Time December 2017-Febuary 2018 Varietal Mixed Heirloom Elevation 1900,Process Washed Natural/Dry Processed,Sub Region Guji Harvest Time December 2017-Febuary 2018 Varietal Mixed Heirloom Elevation 1900,Varietal Mixed Heirloom Elevation 1900,Elevation 1900,Harvest Time December 2017-Febuary 2018,
266,Ethiopia Sakaro,Process Washed Sub Region Gedeb Yirgacheffe Producer Small Producers Harvest Time January 2018 Varietal Heirloom Elevation 1900 - 2100,Process Washed,Sub Region Gedeb Yirgacheffe,Varietal Heirloom,Elevation 1900 - 2100,Harvest Time January 2018 ,Producer Small Producers
267,Kenya Gachatha OT-18,Process Washed Sub Region Nyeri Producer Gachatha Cooperative Varietal SL-28 SL-34 Elevation 2000 - 2050,Process Washed,Sub Region Nyeri,Varietal SL-28 SL-34,Elevation 2000 - 2050,,Producer Gachatha Cooperative
268,Seawall Stroll Seasonal Espresso Blend,Process Washed Honey Harvest Time Spring 2018 Varietal Gathaithi: SL 28 Ruiru/ Abana Estate: Heirloom/ Hacienda Carmona: Typica Bourbón/ El Angel: Villalobos Caturra,Process Washed Honey,,Varietal Gathaithi: SL 28 Ruiru/ Abana Estate: Heirloom/ Hacienda Carmona: Typica Bourbón/ El Angel: Villalobos Caturra,,Harvest Time Spring 2018,
269,"La Roca, Nicaragua",Process Washed Sub Region Nueva Segovia Producer The Dipilito Producers Harvest Time Spring 2018 Varietal Maragogype Caturra Bourbón,Process Washed,Sub Region Nueva Segovia,Varietal Maragogype Caturra Bourbón,,Harvest Time Spring 2018,Producer The Dipilito Producers
270,"Miramar, Mexico",Process Washed Sub Region Oaxaca Varietal Bourbon & Typica,Process Washed,Sub Region Oaxaca,Varietal Bourbon & Typica,,,
271,10 Year Anniversary Blend,Process Washed Sub Region Nyeri Kenya; Guji Ethiopia Producer Giakanja Kenya; Tabe Burka Ethiopia Harvest Time November 2017 - January 2018 Varietal SL-28 SL-34 Heirloom Elevation 1750,Process Washed,Sub Region Nyeri Kenya; Guji Ethiopia,Varietal SL-28 SL-34 Heirloom,Elevation 1750,Harvest Time November 2017 - January 2018,Producer Giakanja Kenya; Tabe Burka Ethiopia
272,Ethiopia Layo Teraga Washed,Process Washed Sub Region Guji Varietal Heirloom Elevation 1800 - 2200,Process Washed,Sub Region Guji,Varietal Heirloom,Elevation 1800 - 2200,,
273,"Juan Domingo, Guatemala",Process Washed Sub Region Concepción Huista Huehuetenango Producer Juan Domingo Varietal Caturra Pache Verde Elevation 1600 - 1700,Process Washed,Sub Region Concepción Huista Huehuetenango,Varietal Caturra Pache Verde,Elevation 1600 - 1700,,Producer Juan Domingo
274,"Guatemala, El Sendero, Renardo Ovalle",Process Washed Sub Region Huehuetenango Producer Renardo Ovalle Varietal Bourbon Elevation 1700 - 1900,Process Washed,Sub Region Huehuetenango,Varietal Bourbon,Elevation 1700 - 1900,,Producer Renardo Ovalle
275,Guatemala Lazaro Constanza,Process Washed Sub Region Huehuetenango Producer Lazaro Constanza Harvest Time Spring 2018 Varietal Caturra Typica Elevation null - 1900,Process Washed,Sub Region Huehuetenango ,Producer Lazaro Constanza Harvest Time Spring 2018 Varietal Caturra Typica Elevation null - 1900,,,
276,La Colina Guatemala,Process Washed Sub Region San Martín Jilotepeque Chimaltenango Producer Antonio Medina Varietal Bourbon and Caturra Elevation 1700 - 1700,Process Washed,Sub Region San Martín Jilotepeque Chimaltenango,Varietal Bourbon and Caturra,Elevation 1700 - 1700,,Producer Antonio Medina
277,Ethiopia Gera Limmu,Process Washed Sub Region Oromia Producer Omer Ali Varietal Mixed Heirloom Elevation 1800,Process Washed,Sub Region Oromia,Varietal Mixed Heirloom,Elevation 1800,,Producer Omer Ali Varietal Mixed Heirloom Elevation 1800
278,Colombia Las Brisas,Process Washed Sub Region Rioblanco Tolima Producer ASOQUEBRADON Growers Association Varietal Caturra Bourbon Typica Castillo Colombia Elevation 1500 - 1900,Process Washed,Sub Region Rioblanco Tolima,Varietal Caturra Bourbon Typica Castillo Colombia,Elevation 1500 - 1900,,Producer ASOQUEBRADON Growers Association
279,Tikur Anbessa Organic Ethiopia,Process Washed Sub Region Benti Nenqa and Buku Guji Zone Producer Smallholders and METAD Harvest Time December 2016 - January 2017 Varietal Ethiopian heirlooms,Process Washed,Sub Region Benti Nenqa and Buku Guji Zone,Varietal Ethiopian heirlooms,,Harvest Time December 2016 - January 2017,Producer Smallholders and METAD
280,"Colombia, El Meridiano, Tolima",Process Washed Sub Region Tolima Varietal Caturra Typica Colombia Elevation 1500 - 1900,Process Washed,Sub Region Tolima,Varietal Caturra Typica Colombia,Elevation 1500 - 1900,,
281,Decaf Ethiopia Kercha,Process Natural/Dry Processed Sub Region Guji Kercha Producer Small producers Harvest Time January 2018 Varietal Heriloom Elevation 1900 - 2100,Process Natural/Dry Processed,Sub Region Guji Kercha,Varietal Heirloom,Elevation 1900 - 2100,Harvest Time January 2018,Producer Small producers
282,Kenya Kiganjo,Process Washed Sub Region Kiambu Harvest Time Spring 2018 Varietal SL-28 34 Ruiri. Elevation 1750,Process Washed,Sub Region Kiambu,Varietal SL-28 34 Ruiri.,Elevation 1750,Harvest Time Spring 2018,
283,"Kolla Bolcha, Ethiopia",Process Washed Sub Region Jimma Producer Kata Muduga Union Cooperative Farmers Harvest Time Winter 2017-2018,Process Washed,Sub Region Jimma,,,Harvest Time Winter 2017-2018,Producer Kata Muduga Union Cooperative Farmers
284,Guatemala Finca Palestina Natural,Process Natural/Dry Processed Sub Region Acatenango Producer Joel Perez Harvest Time 2018 Elevation 1500,Process Natural/Dry Processed,Sub Region Acatenango,,Elevation 1500,Harvest Time 2018,Producer Joel Perez
285,Ethiopia Yabitu Koba,Process Washed Sub Region Guji Uraga Producer Hana Asrat washing station managed by Feku Jebril Elevation 2160,Process Washed,Sub Region Guji Uraga,,Elevation 2160,,Producer Hana Asrat washing station managed by Feku Jebril
286,1950,Process Washed Sub Region Lima Yirgacheffe Elevation 2000,Process Washed,Sub Region Lima Yirgacheffe,,Elevation 2000,,
287,Streetlevel,Process Washed Sub Region Alotenango Chimaltenango Harvest Time November-February Elevation 1500,Process Washed,Sub Region Alotenango Chimaltenango,,Elevation 1500,Harvest Time November-February,
288,Onyx Blend,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
289,"Daterra, Brazil",Process Pulped Natural Sub Region Cerrado Producer Luis Norberto Pascoal Harvest Time July-September Varietal Bourbon Elevation 1200 - 1200,Process Pulped Natural,Sub Region Cerrado,Varietal Bourbon,Elevation 1200 - 1200,Harvest Time July-September,Producer Luis Norberto Pascoal
290,Los Sueños Decaf,Process Washed Sub Region Huila Harvest Time October-December Varietal Caturra Colombia Castillo Elevation 1500 - 1800,Process Washed,Sub Region Huila,Varietal Caturra Colombia Castillo,Elevation 1500 - 1800,Harvest Time October-December,
291,"Gatomboya, Kenya",Process Washed Sub Region Nyeri Harvest Time December-February Varietal SL28 SL34 Elevation 1600 - 2800,Process Washed,Sub Region Nyeri,Varietal SL28 SL34,Elevation 1600 - 2800,Harvest Time December-February,
292,"Buufata Konga, Ethiopia",Process Washed Sub Region Yirga Cheffe Harvest Time November-January 2016-2017 Varietal Heirloom Landraces Elevation 2000 - 2000,Process Washed,Sub Region Yirga Cheffe,Varietal Heirloom Landraces,Elevation 2000 - 2000,Harvest Time November-January 2016-2017,
293,Gesha Village 2016 Dry Process,Process Natural/Dry Processed Sub Region Gesha Producer Adam Overton and Rachel Samuel Harvest Time November-January 2015-2016 Varietal Heirloom Gesha Elevation 1900 - 2100,Process Natural/Dry Processed,Sub Region Gesha,Varietal Heirloom Gesha,Elevation 1900 - 2100,Harvest Time November-January 2015-2016,Producer Adam Overton and Rachel Samuel
294,"Kanzu, Rwanda",Process Washed Sub Region Nyamasheke Harvest Time April-July 2017 Varietal Heirloom Bourbon Elevation 1800 - 2100,Process Washed,Sub Region Nyamasheke,Varietal Heirloom Bourbon,Elevation 1800 - 2100,Harvest Time April-July 2017,
295,Colombia Jhon Wilson Poveda,Process Washed Sub Region Acevedo Producer Jhon Wilson Poveda Harvest Time October-December 2017 Varietal Caturra Colombia Castillo Elevation 1850 - 1850,Process Washed,Sub Region Acevedo,Varietal Caturra Colombia Castillo,Elevation 1850 - 1850,Harvest Time October-December 2017,Producer Jhon Wilson Poveda
296,Filadelpo Mejia,Process Washed Sub Region Cajamarca Producer Filadelpo Mejia Harvest Time May-August 2017 Varietal Caturra Elevation 1850 - 1850,Process Washed,Sub Region Cajamarca,Varietal Caturra,Elevation 1850 - 1850,Harvest Time May-August 2017,Producer Filadelpo Mejia
297,Arnaud Causse Pacamara,Process Washed Sub Region Pichincha Producer Arnaud Causse Harvest Time August-September 2017 Varietal Pacamara Elevation 1800 - 2100,Process Washed,Sub Region Pichincha ,Varietal Pacamara,Elevation 1800 - 2100,Harvest Time August-September 2017 ,Producer Arnaud Causse 
298,"Las Acacias, Honduras",Process Washed Sub Region La Paz Marcala Producer Roger Antonio Domínguez Márquez Harvest Time Dec-Feb 18 Elevation 1400,Process Washed,Sub Region La Paz Marcala,,Elevation 1400,Harvest Time Dec-Feb 18,Producer Roger Antonio Domínguez Márquez
299,Decaf Espresso,Process Washed Elevation 800,Process Washed,,,Elevation 800,,
300,Blueboon,Process Washed Harvest Time Seasonally,Process Washed,,,,Harvest Time Seasonally,
301,Stowaway,Process Washed Sub Region Apaneca Yirgacheffe Producer Carlos Batres and N/A Harvest Time February-March and November-January Varietal Caturra Catuaí Heirloom landraces Elevation 1600,Process Washed,Sub Region Apaneca Yirgacheffe Producer Carlos Batres and N/A Harvest Time February-March and November-January Varietal Caturra Catuaí Heirloom landraces Elevation 1600,Varietal Caturra Catuaí Heirloom landraces,Elevation 1600,Harvest Time February-March and November-January,Producer Carlos Batres and N/A
302,"Vicente Diaz, El Salvador",Process Washed Sub Region Chalatenango Producer Vicente Rafael Diaz Elevation 1350,Process Washed,Sub Region Chalatenango,,Elevation 1350,,Producer Vicente Rafael Diaz
304,Third Coast Espresso,"['Process', 'Washed', 'Varietal', 'Caturra', 'Bourbon', 'Heirloom', 'SL-28', 'SL-34', 'Elevation', '1700']","['Process', 'Washed']",,"['Varietal', 'Caturra', 'Bourbon', 'Heirloom', 'SL-28', 'SL-34'","Elevation', '1700']",,
305,The Chronic,"['Process', 'Washed', 'Varietal', 'Bourbon', 'Caturra', 'Catuai']","['Process', 'Washed']",,"['Varietal', 'Bourbon', 'Caturra', 'Catuai']",,,
306,Finca Adiesto Guatemala,Process Washed Sub Region Huehuetenango Varietal Catuai Bourbon Caturra Elevation 1650 - 1650,Process Washed,Sub Region Huehuetenango,Varietal Catuai Bourbon Caturra,Elevation 1650 - 1650,,
307,Shilicho Ethiopia,Process Washed Sub Region Sidama Varietal Heirloom Elevation 1800 - 1800,Process Washed,Sub Region Sidama,Varietal Heirloom,Elevation 1800 - 1800,,
308,Colombia AMUCC,Process Washed Producer AMUCC Varietal Castillo,Process Washed,,Varietal Castillo,,,Producer AMUCC Varietal Castillo
311,Organic Icebreaker Cold Brew,Process Washed Natural/Dry Processed Sub Region Tolima Colombia; Democracia Guatemala; Oromia Ethiopia. Producer Several Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Process Washed Natural/Dry Processed,Sub Region Tolima Colombia; Democracia Guatemala; Oromia Ethiopia,Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Elevation 1750,Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750,Producer Several Harvest Time April - November 2017 Varietal Caturra Catuai Pache Verde Ethiopian Heirloom types Elevation 1750
312,Colombia Finca San Luis Gran Reserve,Process Washed Sub Region Tolima Libano Producer Omar & Patricia Arango Varietal Typica,Process Washed,Sub Region Tolima Libano ,Varietal Typica,,,Producer Omar & Patricia Arango
313,"El Piquin, Costa Rica",Process Washed Sub Region Dota Varietal Caturra & Catuai,Process Washed,Sub Region Dota,Varietal Caturra & Catuai,,,
314,Eye Of The Tiger Espresso,"['Process', 'Washed', 'Varietal', 'Various']","['Process', 'Washed']",,"['Varietal', 'Various']",,,
315,Organic Guatemala Rio Azul,Process Washed Sub Region Huehuetenango Producer Rio Azul Cooperative Harvest Time February-May 2018 Varietal Bourbon Caturra Pache Sarchimor Elevation 1500 - 1800,Process Washed,Sub Region Huehuetenango,Varietal Bourbon Caturra Pache Sarchimor,Elevation 1500 - 1800,Harvest Time February-May 2018,Producer Rio Azul Cooperative
316,Bolivia Finca Las Alasitas,Process Washed Sub Region Los Yungas Producer Pedro and Daniela Rodriguez Harvest Time October 2017 Varietal Red Caturra Elevation 1600 - 1650,Process Washed,Sub Region Los Yungas,Varietal Red Caturra,Elevation 1600 - 1650,Harvest Time October 2017,Producer Pedro and Daniela Rodriguez
317,Bleu,"['Process', 'Washed', 'Varietal', 'Arabica']","['Process', 'Washed']",,"['Varietal', 'Arabica']",,,
318,Sun Lamp,"['Process', 'Washed', 'Varietal', 'Changes', 'Seasonally']","['Process', 'Washed']",,"['Varietal', 'Changes', 'Seasonally']",,,
319,Peru Norandino,Process Washed Sub Region Piura Amazonas Cajamarca San Martin Producer Norandino Harvest Time November 2017 Varietal Caturra bourbon catuai pache villa sarchi catimor Elevation 1100 - 1700,Process Washed,Sub Region Piura Amazonas Cajamarca San Martin ,Varietal Caturra bourbon catuai pache villa sarchi catimor,Elevation 1100 - 1700,Harvest Time November 2017 ,Producer Norandino 
